Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 0, 1, 0.109, 0.109, 0.119, 0.01, 1, 0.119, 0.85, 0.731, 1297, 0, 0.85, 0.864, 0.014, 28,     0.755,
 1, 1, 0.171, 0.171, 0.265, 0.094, 189, 0.265, 1.099, 0.834, 1246, 0, 1.099, 1.113, 0.014, 29,     0.943,
 2, 1, 0.218, 0.218, 0.304, 0.086, 164, 0.304, 1.358, 1.053, 1432, 0, 1.358, 2.611, 1.254, 2508,     2.394,
 3, 1, 0.703, 0.703, 0.713, 0.01, 18, 0.713, 2.631, 1.919, 1468, 0, 2.631, 2.654, 0.022, 45,     1.951,
 4, 1, 0.741, 0.741, 0.767, 0.026, 36, 0.767, 2.881, 2.114, 1997, 0, 2.881, 2.891, 0.01, 9,     2.150,
 7, 1, 0.935, 0.935, 0.965, 0.03, 43, 0.965, 3.64, 2.675, 1472, 0, 3.64, 3.651, 0.011, 22,     2.716,
 5, 1, 0.789, 0.789, 0.878, 0.089, 165, 0.878, 3.13, 2.252, 1200, 0, 3.13, 3.815, 0.685, 1371,     3.027,
 6, 1, 0.924, 0.924, 1.117, 0.193, 383, 1.117, 3.89, 2.773, 1748, 0, 3.89, 3.9, 0.01, 14,     2.976,
 9, 1, 1.107, 1.107, 1.157, 0.05, 71, 1.157, 4.141, 2.985, 1827, 0, 4.141, 4.151, 0.01, 17,     3.045,
 10, 1, 1.22, 1.22, 1.23, 0.01, 1, 1.23, 4.391, 3.161, 1654, 0, 4.391, 4.437, 0.046, 92,     3.217,
 8, 1, 1.088, 1.088, 1.298, 0.209, 404, 1.298, 4.64, 3.343, 1468, 0, 4.64, 4.825, 0.185, 370,     3.737,
 11, 1, 1.288, 1.288, 1.308, 0.02, 38, 1.308, 4.889, 3.582, 1508, 0, 4.889, 4.939, 0.05, 100,     3.652,
